,,Passing,,,,,,Rushing,,,,Receiving,,,,Fumbles,
Player,Bye,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
Damian Williams,83.00,0,0,0,0,0,0,0,0,0,0,45,592,5,0,0,0
Curtis Painter,82.00,243,132,"1,541",6,9,0,17,107,0,0,0,0,0,0,3,0
Dexter McCluster,81.00,0,0,0,0,0,0,114,516,1,0,46,328,1,0,3,0
Jahvid Best,80.00,0,0,0,0,0,0,84,390,2,0,27,287,1,0,0,0
Owen Daniels,80.00,0,0,0,0,0,0,0,0,0,0,54,677,3,0,0,0
Greg Olsen,80.00,0,0,0,0,0,0,0,0,0,0,45,540,5,1,1,0
Jake Ballard,78.00,0,0,0,0,0,0,0,0,0,0,38,604,4,0,0,0
Greg Little,78.00,0,0,0,0,0,0,3,15,0,0,61,709,2,0,0,0
LaDainian Tomlinson,78.00,0,0,0,0,0,0,75,280,1,0,42,449,2,0,0,0
Johnny Knox,77.00,0,0,0,0,0,0,0,0,0,0,37,727,2,0,1,0
Santana Moss,77.00,0,0,0,0,0,0,0,0,0,0,46,584,4,0,0,0
Mark Ingram,76.00,0,0,0,0,0,0,122,474,5,0,11,46,0,0,1,0
Marion Barber,75.00,0,0,0,0,0,0,114,422,6,0,5,50,0,0,1,0
Ed Dickson,75.00,0,0,0,0,0,0,0,0,0,0,54,528,5,0,0,0
Donald Driver,74.00,0,0,0,0,0,0,0,0,0,0,37,445,6,0,0,0
Demaryius Thomas,74.00,1,0,0,0,0,0,1,5,0,0,32,551,4,0,0,0
Felix Jones,73.00,0,0,0,0,0,0,127,575,1,0,33,221,0,0,2,0
Brandon LaFell,73.00,0,0,0,0,0,0,0,0,0,0,36,613,3,0,0,0
James Starks,72.00,0,0,0,0,0,0,133,578,1,0,29,216,0,0,1,0
Joshua Cribbs,71.00,0,0,0,0,0,0,7,25,0,0,41,518,4,0,1,0
Mario Manningham,71.00,0,0,0,0,0,0,0,0,0,0,39,523,4,0,0,0
Jackie Battle,70.00,0,0,0,0,0,0,149,597,2,0,9,68,0,0,0,0
Donovan McNabb,70.00,156,94,"1,026",4,2,0,14,59,1,0,0,0,0,0,0,0
Dezmon Briscoe,69.00,0,0,0,0,0,0,0,0,0,0,35,387,6,0,0,0
Scott Chandler,69.00,0,0,0,0,0,0,0,0,0,0,38,389,6,0,1,0
Anthony Fasano,69.00,0,0,0,0,0,0,0,0,0,0,32,451,5,0,0,0
Kendall Hunter,69.00,0,0,0,0,0,0,112,473,2,0,16,195,0,0,0,0
Dan Orlovsky,69.00,193,122,"1,201",6,4,0,6,5,0,0,0,0,0,0,3,0
Heath Miller,68.00,0,0,0,0,0,0,1,6,0,0,51,631,2,0,1,0
Tony Scheffler,67.00,0,0,0,0,0,0,1,5,0,0,26,347,6,1,0,0
Jason Avant,66.00,0,0,0,0,0,0,0,0,0,0,52,679,1,0,2,0
Andre Roberts,66.00,0,0,0,0,0,0,3,27,0,0,51,586,2,0,0,0
Joel Dreessen,65.00,0,0,0,0,0,0,0,0,0,0,28,353,6,0,0,0
Preston Parker,65.00,0,0,0,0,0,0,1,-3,0,0,40,554,3,0,3,0
Davone Bess,64.00,0,0,0,0,0,0,2,9,0,0,51,537,3,0,2,0
Chad Henne,64.00,112,64,868,4,4,0,15,112,1,0,0,0,0,0,0,0
Jeremy Shockey,64.00,0,0,0,0,0,0,0,0,0,0,37,455,4,0,1,0
Daniel Thomas,63.00,0,0,0,0,0,0,165,581,0,0,12,72,1,0,1,0
Isaac Redman,62.00,0,0,0,0,0,0,110,479,3,0,18,78,0,0,2,0
Kevin Walter,60.00,0,0,0,0,0,0,0,0,0,0,39,474,3,0,0,0
Michael Jenkins,58.00,0,0,0,0,0,0,0,0,0,0,38,466,3,0,2,0
Andre Johnson,58.00,0,0,0,0,0,0,1,8,0,0,33,492,2,0,0,0
Roy Williams,58.00,0,0,0,0,0,0,0,0,0,0,37,507,2,0,0,0
Matt Flynn,57.00,49,33,518,6,2,0,13,-6,1,0,0,0,0,0,1,0
Devery Henderson,57.00,0,0,0,0,0,0,1,9,0,0,32,503,2,0,0,0
Sidney Rice,57.00,1,1,55,0,0,0,2,3,0,0,32,484,2,0,0,0
Arrelious Benn,56.00,0,0,0,0,0,0,6,-7,0,0,30,441,3,0,0,0
Jacoby Jones,56.00,0,0,0,0,0,0,4,17,0,0,31,512,2,0,0,0
Maurice Morris,56.00,0,0,0,0,0,0,80,316,1,0,26,230,1,0,0,0
Lance Ball,54.00,0,0,0,0,0,0,96,402,1,0,16,148,1,0,2,0
Jake Locker,54.00,66,34,542,4,0,0,8,56,1,0,0,0,0,0,0,0
John Beck,53.00,132,80,858,2,4,1,10,43,2,0,0,0,0,0,1,0
