,,Passing,,,,,,Rushing,,,,Receiving,,,,Fumbles,
Player,Bye,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
Jonathan Stewart,6,93.00,0,0,0,0,0,0,178,770,2,0,8,103,1,0,4,0
Mike Sims-Walker,9,92.00,0,0,0,0,0,0,0,0,0,0,43,562,7,0,1,0
James Jones,10,91.00,0,0,0,0,0,0,0,0,0,0,50,679,5,0,1,0
Zach Miller,10,90.00,0,0,0,0,0,0,0,0,0,0,60,685,5,0,0,0
Aaron Hernandez,5,89.00,0,0,0,0,0,0,3,47,0,0,45,563,6,0,0,0
Dustin Keller,7,89.00,0,0,0,0,0,0,0,0,0,0,55,687,5,0,0,0
Shonn Greene,7,88.00,0,0,0,0,0,0,185,766,2,0,16,120,0,0,2,0
Robert Meachem,10,88.00,0,0,0,0,0,0,4,14,0,0,44,638,5,0,0,0
Brandon Pettigrew,7,88.00,0,0,0,0,0,0,0,0,0,0,71,722,4,0,0,0
Benjamin Watson,8,88.00,0,0,0,0,0,0,1,-1,0,0,68,763,3,0,0,0
Dez Bryant,4,87.00,0,0,0,0,0,0,1,0,0,0,45,561,6,0,1,0
Ricky Williams,5,87.00,0,0,0,0,0,0,159,673,2,0,19,141,1,0,2,0
Kevin Walter,7,86.00,0,0,0,0,0,0,0,0,0,0,51,621,5,0,0,0
Mike Goodson,6,85.00,0,0,0,0,0,0,103,452,3,0,40,310,0,0,3,0
Danny Amendola,9,84.00,0,0,0,0,0,0,7,81,0,0,85,689,3,0,1,0
Todd Heap,8,83.00,0,0,0,0,0,0,0,0,0,0,40,599,5,0,0,0
Carnell Williams,4,83.00,0,0,0,0,0,0,125,437,2,0,46,355,1,0,1,0
Jacob Tamme,7,82.00,0,0,0,0,0,0,0,0,0,0,67,631,4,0,0,0
Steve Breaston,6,81.00,2,1,17,0,0,0,3,35,0,0,47,718,1,0,0,1
Rashad Jennings,9,81.00,0,0,0,0,0,0,84,459,4,0,26,223,0,0,0,0
Troy Smith,8,81.00,145,73,"1,176",5,4,0,23,121,1,0,0,0,0,0,0,0
Jason Snelling,8,80.00,0,0,0,0,0,0,87,324,2,0,44,303,3,0,0,0
Mike Williams,5,80.00,0,0,0,0,0,0,1,0,0,0,65,751,2,0,0,0
Joseph Addai,7,78.00,0,0,0,0,0,0,116,495,4,0,19,124,0,0,1,0
Jacoby Ford,10,78.00,0,0,0,0,0,0,10,155,2,0,25,470,2,0,1,0
Roy Williams,4,78.00,0,0,0,0,0,0,0,0,0,0,37,530,5,1,2,0
Justin Forsett,5,77.00,0,0,0,0,0,0,118,523,2,0,33,252,0,0,0,0
