
Player,Bye,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
Courtland Sutton,5,6.00,0,0,0,0,0,0,0,0,0,0,3,66,0,0,0,0
Trent Taylor,11,6.00,0,0,0,0,0,0,0,0,0,0,10,86,0,0,0,0
Tyrie Cleveland,5,5.00,0,0,0,0,0,0,0,0,0,0,6,63,0,0,0,0
Jaydon Mickens,13,5.00,0,0,0,0,0,0,0,0,0,0,7,58,0,0,0,0
Steven Mitchell,8,5.00,0,0,0,0,0,0,0,0,0,0,5,60,0,0,0,0
Damion Ratley,8,5.00,0,0,0,0,0,0,0,0,0,0,4,63,0,0,0,0
Ashton Dulin,7,4.00,0,0,0,0,0,0,2,11,0,0,3,53,0,0,0,0
Trent Sherfield,8,4.00,0,0,0,0,0,0,0,0,0,0,5,50,0,0,0,0
Lawrence Cager,10,3.00,0,0,0,0,0,0,0,0,0,0,2,35,0,0,0,0
River Cracraft,11,3.00,0,0,0,0,0,0,0,0,0,0,6,41,0,0,0,0
Ted Ginn Jr.,11,3.00,0,0,0,0,0,0,0,0,0,0,3,40,0,0,0,0
Terry Godwin,8,3.00,0,0,0,0,0,0,1,3,0,0,3,32,0,0,0,0
K.J. Hill,6,3.00,0,0,0,0,0,0,0,0,0,0,7,73,0,0,1,0
Riley Ridley,11,3.00,0,0,0,0,0,0,0,0,0,0,4,39,0,0,0,0
Nick Westbrook,4,3.00,0,0,0,0,0,0,0,0,0,0,3,33,0,1,0,0
Isaiah Zuber,5,3.00,0,0,0,0,0,0,2,21,0,0,2,29,0,0,0,0
Robert Foster,8,2.00,0,0,0,0,0,0,0,0,0,0,2,37,0,0,0,0
Daurice Fountain,7,2.00,0,0,0,0,0,0,0,0,0,0,2,23,0,0,0,0
Antonio Gandy-Golden,8,2.00,0,0,0,0,0,0,1,22,0,0,1,3,0,0,0,0
Josh Malone,10,2.00,0,0,0,0,0,0,1,12,0,0,4,16,0,0,0,0
Seth Roberts,5,2.00,0,0,0,0,0,0,0,0,0,0,4,31,0,0,0,0
Darrius Shepherd,5,2.00,0,0,0,0,0,0,0,0,0,0,5,46,0,0,1,0
Brandon Zylstra,13,2.00,0,0,0,0,0,0,1,1,0,0,3,35,0,0,0,0
Deontay Burnett,9,1.00,0,0,0,0,0,0,0,0,0,0,3,19,0,0,0,0
Antonio Callaway,7,1.00,0,0,0,0,0,0,0,0,0,0,2,20,0,0,0,0
Gehrig Dieter,10,1.00,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0
Bennie Fowler,6,1.00,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0
Penny Hart,6,1.00,0,0,0,0,0,0,1,19,0,0,1,3,0,0,0,0
Cody Hollister,4,1.00,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0
Marcus Kemp,10,1.00,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0
Keith Kirkwood,13,1.00,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0
Tommylee Lewis,6,1.00,0,0,0,0,0,0,2,14,0,0,1,5,0,0,0,0
Donte Moncrief,5,1.00,0,0,0,0,0,0,1,4,0,0,1,15,0,0,0,0
James Proche,7,1.00,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0
John Ross,9,1.00,0,0,0,0,0,0,0,0,0,0,2,17,0,0,0,0
Jaleel Scott,10,1.00,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0
Vyncint Smith,10,1.00,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0
Diontae Spencer,5,1.00,0,0,0,0,0,0,3,19,0,0,3,26,0,0,0,0
Trenton Irwin,9,0.00,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0
JoJo Natson,9,0.00,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
Andre Roberts,11,0.00,0,0,0,0,0,0,1,-3,0,0,4,34,0,0,2,0
Tavon Austin,5,-1.00,0,0,0,0,0,0,0,0,0,0,5,20,0,0,1,0
DeAndre Carter,11,-1.00,0,0,0,0,0,0,0,0,0,0,1,8,0,0,1,0
Dwayne Harris,11,-1.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Nsimba Webster,9,-1.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Dede Westbrook,8,-1.00,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0
Kendall Hinton,5,-4.00,9,1,13,0,2,0,2,7,0,0,0,0,0,0,0,0
