,,Passing,,,,,,Rushing,,,,Receiving,,,,Fumbles,
Player,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
David Moore,1.00,0,0,0,0,0,0,0,0,0,0,2,16,0,0,0,0
Latavius Murray,1.00,0,0,0,0,0,0,2,18,0,0,0,0,0,0,0,0
Logan Paulsen,1.00,0,0,0,0,0,0,0,0,0,0,1,19,0,0,0,0
Jalen Richard,1.00,0,0,0,0,0,0,3,1,0,0,2,17,0,0,0,0
Aaron Rodgers,1.00,5,3,26,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyle Rudolph,1.00,0,0,0,0,0,0,0,0,0,0,4,19,0,0,0,0
Dalton Schultz,1.00,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0
Anthony Sherman,1.00,0,0,0,0,0,0,0,0,0,0,2,19,0,0,0,0
Scott Simonson,1.00,0,0,0,0,0,0,0,0,0,0,2,14,0,0,0,0
Durham Smythe,1.00,0,0,0,0,0,0,0,0,0,0,3,14,0,0,0,0
Auden Tate,1.00,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0
Nick Vannett,1.00,0,0,0,0,0,0,0,0,0,0,2,17,0,0,0,0
Jordan Wilkins,1.00,0,0,0,0,0,0,3,18,0,0,1,5,0,0,0,0
Jamaal Williams,1.00,0,0,0,0,0,0,8,4,0,0,3,16,0,0,0,0
Jesus Wilson,1.00,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0
Alex Armah,0.00,0,0,0,0,0,0,1,1,0,0,1,5,0,0,0,0
Marcell Ateman,0.00,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0
Blake Bell,0.00,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Josh Bellamy,0.00,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
Kelvin Benjamin,0.00,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0
Giovani Bernard,0.00,0,0,0,0,0,0,3,7,0,0,2,8,0,0,0,0
Brandon Bolden,0.00,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0
Jaron Brown,0.00,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0
John Brown,0.00,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0
Noah Brown,0.00,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0
Jehu Chesson,0.00,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0
Jamison Crowder,0.00,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0
James Develin,0.00,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
Ed Dickson,0.00,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0
Ross Dwelley,0.00,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
Darren Fells,0.00,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0
Anthony Firkser,0.00,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0
Ryan Grant,0.00,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0
Ryan Griffin,0.00,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0
De'Angelo Henderson,0.00,0,0,0,0,0,0,2,19,0,0,0,0,0,0,1,0
Chris Herndon IV,0.00,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0
Brian Hoyer,0.00,0,0,0,0,0,0,3,-3,0,0,0,0,0,0,0,0
J.J. Jones,0.00,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0
Kyle Juszczyk,0.00,0,0,0,0,0,0,2,9,0,0,1,15,0,0,1,0
Darvin Kidsy,0.00,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0
Allen Lazard,0.00,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0
Jordan Leggett,0.00,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0
Sean Mannion,0.00,3,2,23,0,0,0,2,-8,0,0,0,0,0,0,0,0
Ray Ray McCloud,0.00,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0
Anthony Miller,0.00,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0
J'Mon Moore,0.00,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0
John Mundt,0.00,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0
Roosevelt Nix,0.00,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
Elijhaa Penny,0.00,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
Rashaad Penny,0.00,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0
Samaje Perine,0.00,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0
Adrian Peterson,0.00,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
Jacquizz Rodgers,0.00,0,0,0,0,0,0,3,3,0,0,1,2,0,0,0,0
John Ross,0.00,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Ryan Switzer,0.00,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
Taywan Taylor,0.00,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0
Jordan Thomas,0.00,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
Robert Tonyan,0.00,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0
Laquon Treadwell,0.00,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0
C.J. Uzomah,0.00,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
Derek Watt,0.00,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0
Charcandrick West,0.00,0,0,0,0,0,0,1,-2,0,0,0,0,0,0,0,0
Dede Westbrook,0.00,0,0,0,0,0,0,0,0,0,0,3,10,0,0,1,0
David Williams,0.00,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
Maxx Williams,0.00,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Jeffery Wilson,0.00,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0
Geno Smith,-1.00,0,0,0,0,0,0,2,-2,0,0,0,0,0,0,1,0
